id,category,kanji,reading,english,burmese
196,"Quality Control","曲げ試験","まげしけん","Bending Test","ကွေးညွှတ်အား စမ်းသပ်ခြင်း"
197,"Quality Control","シャルピー衝撃試験","シャルピーしょうげきしけん","Charpy Impact Test","Charpy ရိုက်ခတ်မှု စမ်းသပ်ခြင်း"
198,"Quality Control","靭性","じんせい","Toughness; Ductility","ကြံ့ခိုင်မှု"
199,"Quality Control","介在物","かいざいぶつ","Inclusion","နိုင်ငံခြားပစ္စည်း (သတ္တုအတွင်း)"
200,"Quality Control","層状割れ","そうじょうわれ","Lamellar Tearing","အလွှာလိုက် ကွဲထွက်မှု"
201,"Quality Control","購入検査","こうにゅうけんさ","Purchase Inspection","ဝယ်ယူမှု စစ်ဆေးခြင်း"
202,"Quality Control","規格証明書","きかくしょうめいしょ","Standard Certificate","စံနှုန်း သက်သေခံလက်မှတ်"
203,"Quality Control","受入検査","うけいれけんさ","Acceptance Inspection","လက်ခံရယူမှု စစ်ဆေးခြင်း"
204,"Quality Control","中間検査","ちゅうかんけんさ","Intermediate Inspection","ကြားကာလ စစ်ဆေးခြင်း"
205,"Quality Control","書類検査","しょるいけんさ","Document Inspection","စာရွက်စာတမ်း စစ်ဆေးခြင်း"
206,"Quality Control","対象物検査","たいしょうぶつけんさ","Object/Physical Inspection","ပစ္စည်း/အရာဝတ္ထု စစ်ဆေးခြင်း"
207,"Quality Control","管理許容差","かんりきょようさ","Management Tolerance","စီမံခန့်ခွဲမှု ခွင့်ပြုချက်"
208,"Quality Control","限界許容差","げんかいきょようさ","Limit Tolerance","အကန့်အသတ် ခွင့်ပြုချက်"
209,"Quality Control","溶接部","ようせつぶ","Welded Part","ဂဟေဆက်ထားသော အစိတ်အပိုင်း"
210,"Quality Control","外観検査","がいかんけんさ","Visual Inspection","အပြင်ပန်းကြည့် စစ်ဆေးခြင်း"
211,"Quality Control","高力ボルト","こうりょくボルト","High-strength Bolt","ခံနိုင်ရည်အားမြင့်သော ဘောလ်"
212,"Quality Control","ナット回転量","ナットかいてんりょう","Nut Rotation Amount","နပ်လှည့်ပတ်မှု ပမာဏ"
213,"Quality Control","不具合処理","ふぐあいしょり","Defect Remediation","ချို့ယွင်းချက် ပြင်ဆင်ခြင်း"
214,"Quality Control","再発防止","さいはつぼうし","Recurrence Prevention","ထပ်မံဖြစ်ပွားခြင်းမှ ကာကွယ်ခြင်း"
215,"Quality Control","4M","4M","4M (Man, Machine, Material, Method)","လူ၊ စက်ပစ္စည်း၊ ကုန်ကြမ်း၊ နည်းလမ်း"
216,"Quality Control","トレーサビリティ","トレーサビリティ","Traceability","ကုန်ကြမ်းရာဇဝင် လိုက်ခြင်း"
217,"Quality Control","溶接欠陥","ようせつけっかん","Welding Defect","ဂဟေဆက် ချို့ယွင်းချက်"
218,"Quality Control","非破壊試験","ひはかいしけん","Non-destructive Testing (NDT)","မပျက်စီးစေဘဲ စမ်းသပ်ခြင်း"
219,"Quality Control","超音波探傷試験","ちょうおんぱたんしょうしけん","Ultrasonic Testing (UT)","အာထရာဆောင်းဖြင့် စစ်ဆေးခြင်း"
220,"Quality Control","放射線透過試験","ほうしゃせんとうかしけん","Radiographic Testing (RT)","ဓာတ်ရောင်ခြည် ဖောက်ထွင်းစစ်ဆေးခြင်း"
221,"Quality Control","磁粉探傷試験","じふんたんしょうしけん","Magnetic Particle Testing (MT)","သံလိုက်မှုန် စစ်ဆေးခြင်း"
222,"Quality Control","浸透探傷試験","しんとうたんしょうしけん","Penetrant Testing (PT)","စိမ့်ဝင်ပစ္စည်းဖြင့် စစ်ဆေးခြင်း"
223,"Quality Control","ブローホール","ブローホール","Blowhole","လေခိုပေါက်"
224,"Quality Control","割れ","われ","Crack","အက်ကွဲကြောင်း"
225,"Quality Control","溶接技能者","ようせつぎのうしゃ","Welding Technician/Skilled Worker","ဂဟေဆက်ကျွမ်းကျင်သူ"
226,"Quality Control","隅肉溶接","すみにくようせつ","Fillet Weld","ထောင့်ဆက် ဂဟေ"
227,"Quality Control","突合せ継手","つきあわせつぎて","Butt Joint","ထိပ်ချင်းဆိုင် ဆက်သွယ်မှု"
228,"Quality Control","完全溶込み溶接","かんぜんすみこみようせつ","Full Penetration Weld","အလုံးစုံ စိမ့်ဝင် ဂဟေဆက်ခြင်း"
229,"Quality Control","肉盛の高さ","にくもりのたかさ","Weld Reinforcement Height","ဂဟေဖောင်းကြွမှု အမြင့်"
230,"Quality Control","打撃検査","だげきけんさ","Impact/Tapping Inspection","ရိုက်ခတ် စစ်ဆေးခြင်း"
231,"Quality Control","柱梁接合部","ちゅうはりせつごうぶ","Column-Beam Connection","တိုင်နှင့် မြားတန်း ဆက်သွယ်ထားသော အပိုင်း"
232,"Quality Control","スタッド溶接","スタッドようせつ","Stud Welding","သံချောင်းဆက် ဂဟေဆက်ခြင်း"
233,"Quality Control","ピンホール","ピンホール","Pin hole","သေးငယ်သော ပေါက်"
234,"Quality Control","余盛り","よもり","Excess Weld Metal / Reinforcement","ပိုလျှံနေသော ဂဟေသား"
235,"Quality Control","溶込み","とけこみ","Penetration","စိမ့်ဝင်မှု"
236,"Quality Control","鉄骨精度検査基準","てっこつせいどけんさきじゅん","Steel Precision Inspection Standard","သံမဏိတိကျမှု စစ်ဆေးခြင်း စံနှုန်း"
237,"Steel Frame Erection","鉄骨建方","てっこつたてかた","Steel Frame Erection","သံမဏိဘောင် တပ်ဆင်ခြင်း"
238,"Steel Frame Erection","足場","あしば","Scaffolding","ငြမ်း"
239,"Steel Frame Erection","クレーン","クレーン","Crane","ကရိန်း"
240,"Steel Frame Erection","玉掛け","たまかけ","Slinging / Rigging","ချိတ်ဆွဲခြင်း"
241,"Steel Frame Erection","親綱","おやづな","Lifeline","အသက်ကယ်ကြိုး (ပင်မ)"
242,"Steel Frame Erection","安全帯","あんぜんたい","Safety Harness / Safety Belt","ဘေးကင်းရေး ခါးပတ်"
243,"Steel Frame Erection","建方計画","たてかたけいかく","Erection Plan","တပ်ဆင်ခြင်း အစီအစဉ်"
244,"Steel Frame Erection","建て入れ直し","たていれなおし","Plumbing / Alignment adjustment","ဒေါင်လိုက် တည့်မတ်အောင် ချိန်ညှိခြင်း"
245,"Steel Frame Erection","ターンバックル","ターンバックル","Turnbuckle","တင်းအားချိန်ညှိ ကိရိယာ"
246,"Steel Frame Erection","ワイヤーロープ","ワイヤーロープ","Wire Rope","သံမဏိကြိုး"
247,"Steel Frame Erection","仮ボルト","かりボルト","Temporary Bolt","ယာယီ Bolt"
248,"Steel Frame Erection","本締め","ほんじめ","Final Tightening","အပြီးသတ် ကျပ်ခြင်း"
249,"Steel Frame Erection","鳶","とび","Steel Erector / Ironworker","သံဘောင်တပ်ဆင်သူ"
250,"Steel Frame Erection","柱脚","ちゅうきゃく","Column Base","တိုင်ခြေ"
251,"Steel Frame Erection","アンカーボルト","アンカーボルト","Anchor Bolt","ကျောက်ဆူး Bolt"
252,"Steel Frame Erection","デッキプレート","デッキプレート","Deck Plate","ကြမ်းခင်း သတ္တုပြား"
253,"Steel Frame Erection","落下物防止","らっかぶつぼうし","Falling Object Prevention","အရာဝတ္ထု ပြုတ်ကျမှု ကာကွယ်ခြင်း"
254,"Steel Frame Erection","地組","じぐみ","Ground Assembly","မြေပြင်ပေါ်တွင် ကြိုတင်တပ်ဆင်ခြင်း"
255,"Safety Management","安全管理","あんぜんかんり","Safety Management","ဘေးကင်းရေး စီမံခန့်ခွဲမှု"
256,"Safety Management","労働災害","ろうどうさいがい","Occupational Accident / Industrial Accident","လုပ်ငန်းခွင် ထိခိုက်မှု"
257,"Safety Management","ヒヤリ・ハット","ヒヤリ・ハット","Near Miss / Close Call","သီသီလေး လွဲခြင်း (အန္တရာယ်)"
258,"Safety Management","KY活動","ケーワイかつどう","Hazard Prediction Activity (Kiken Yochi)","အန္တရာယ် ကြိုတင်ခန့်မှန်းရေး လှုပ်ရှားမှု"
259,"Safety Management","リスクアセスメント","リスクアセスメント","Risk Assessment","စွန့်စားရမှု အကဲဖြတ်ခြင်း"
260,"Safety Management","安全パトロール","あんぜんパトロール","Safety Patrol","ဘေးကင်းရေး ကင်းလှည့် စစ်ဆေးခြင်း"
261,"Safety Management","保護具","ほごぐ","Personal Protective Equipment (PPE)","တစ်ကိုယ်ရည် အကာအကွယ်ပစ္စည်း"
262,"Safety Management","ヘルメット","ヘルメット","Helmet","ဦးထုပ် (ဘေးကင်းရေး)"
263,"Safety Management","安全靴","あんぜんぐつ","Safety Shoes","ဘေးကင်းရေး ဖိနပ်"
264,"Safety Management","安全教育","あんぜんきょういく","Safety Education / Training","ဘေးကင်းရေး ပညာပေးခြင်း"
265,"Safety Management","墜落災害","ついらくさいがい","Falling Accident","ပြုတ်ကျ ထိခိုက်မှု"
266,"Safety Management","感電","かんでん","Electric Shock","ဓာတ်လိုက်ခြင်း"
267,"Safety Management","酸欠","さんけつ","Oxygen Deficiency","အောက်ဆီဂျင် ပြတ်လပ်ခြင်း"
268,"Safety Management","危険予知","きけんよち","Hazard Prediction","အန္တရာယ် ကြိုတင်ခန့်မှန်းခြင်း"
269,"Safety Management","避難訓練","ひなんくんれん","Evacuation Drill","ဘေးလွတ်ရာသို့ ရွှေ့ပြောင်းရေး လေ့ကျင့်မှု"
270,"Safety Management","整理・整頓","せいり・せいとん","Sorting and Tidying up (Part of 5S)","စီစဉ်ခြင်း၊ သန့်ရှင်း သပ်ရပ်စွာထားခြင်း"
271,"Safety Management","安全衛生責任者","あんぜんえいせいせきにんしゃ","Safety and Health Supervisor","ဘေးကင်းရေးနှင့် ကျန်းမာရေး တာဝန်ခံ"
272,"Safety Management","5S活動","ゴエスかつどう","5S Activities (Sort, Set in order, Shine, Standardize, Sustain)","5S လှုပ်ရှားမှု"
273,"Steel Structure","柱","はしら","Column","တိုင်"
274,"Steel Structure","梁","はり","Beam","ရုံတန်း (အသေး)"
275,"Steel Structure","大梁","おおばり","Girder","ရုံတန်း (အကြီး)"
276,"Steel Structure","母屋","もや","Purlin","ဒိုင်း"
277,"Steel Structure","間柱","まばしら","Stud","ကြားတိုင်"
278,"Steel Structure","根太","ねだ","Joist","ကြမ်းခင်းတန်း"
279,"Steel Structure","ガセットプレート","ガセットプレート","Gusset Plate","ဆက်ပြား"
280,"Steel Structure","スプライスプレート","スプライスプレート","Splice Plate","ထပ်ဆက်ပြား"
281,"Steel Structure","スチフナー","スチフナー","Stiffener","အားဖြည့်ပြား"
282,"Steel Structure","シアコネクタ","シアコネクタ","Shear Connector","ညှပ်အား အဆက်"
283,"Steel Structure","モーメント接合","モーメントせつごう","Moment Connection","မိုမင့် ဆက်သွယ်မှု"
284,"Steel Structure","せん断接合","せんだんせつごう","Shear Connection","ညှပ်အား ဆက်သွယ်မှု"
285,"Steel Structure","降伏強度","こうふくきょうど","Yield Strength","ခံနိုင်ဝန် အား"
286,"Steel Structure","極限強度","きょくげんきょうど","Ultimate Strength","အဆုံးစွန် ခံနိုင်အား"
287,"Steel Structure","弾性係数","だんせいけいすう","Modulus of Elasticity","ဆွဲဆန့်နိုင်မှု ကိန်း"
288,"Steel Structure","ポアソン比","ポアソンひ","Poisson's Ratio","Poisson အချိုး"
289,"Steel Structure","応力ひずみ曲線","おうりょくひずみきょくせん","Stress-Strain Curve","ဖိအား-ပုံပျက်မှု မျဉ်းကွေး"
290,"Steel Structure","疲労強度","ひろうきょうど","Fatigue Strength"," ခံနိုင်အား လျော့ကျခြင်း"
291,"Steel Structure","クリープ","クリープ","Creep","တွားသွား ပုံပျက်ခြင်း"
292,"Steel Structure","熱膨張","ねつぼうちょう","Thermal Expansion","အပူကြောင့် ကျယ်ပြန့်ခြင်း"
293,"Steel Structure","亜鉛めっき鋼板","あえんめっきこうはん","Galvanized Steel Sheet","သွပ်ရည်စိမ် သံမဏိပြား"
294,"Steel Structure","ステンレス鋼","ステンレスこう","Stainless Steel","စတီး"
295,"Steel Structure","耐候性鋼","たいこうせいこう","Weathering Steel","ရာသီဥတုဒဏ်ခံ သံမဏိ"
296,"Steel Structure","組立断面","くみたてだんめん","Built-up Section","စုပေါင်းတည်ဆောက်ထားသော ဖြတ်ပိုင်း"
297,"Steel Structure","アンカーフレーム","アンカーフレーム","Anchor Frame","ကျောက်ဆူး ဘောင်"
298,"Steel Fabrication","けがき","けがき","Marking / Scribing","မျဉ်းသား အမှတ်အသားပြုခြင်း"
299,"Steel Fabrication","パンチングマシン","パンチングマシン","Punching Machine","အပေါက်ဖောက်စက်"
300,"Steel Fabrication","ボール盤","ボールばん","Drilling Machine","ဒရယ်စက် (အကြီး)"
301,"Steel Fabrication","シャーリングマシン","シャーリングマシン","Shearing Machine","ညှပ်စက်"
302,"Steel Fabrication","ベンディングマシン","ベンディングマシン","Bending Machine","ကွေးစက်"
303,"Steel Fabrication","キャンバー加工","キャンバーかこう","Cambering","ခုံးအောင် ပြုလုပ်ခြင်း"
304,"Steel Fabrication","仮付け溶接","かりづけようせつ","Tack Weld","ယာယီ ဂဟေဆက်ခြင်း"
305,"Steel Fabrication","溶接ビード","ようせつビード","Weld Bead","ဂဟေဆက်ကြောင်း"
306,"Steel Fabrication","アンダーカット","アンダーカット","Undercut","အနားသားလောင်ခြင်း (ဂဟေ)"
307,"Steel Fabrication","オーバーラップ","オーバーラップ","Overlap","ထပ်သွားခြင်း (ဂဟေ)"
308,"Steel Fabrication","ポロシティ","ポロシティ","Porosity","လေခိုပေါက်များ (ဂဟေ)"
309,"Steel Fabrication","溶接ひずみ","ようせつひずみ","Welding distortion","ဂဟေကြောင့် ပုံပျက်ခြင်း"
310,"Steel Fabrication","予熱","よねつ","Preheating","ကြိုတင် အပူပေးခြင်း"
311,"Steel Fabrication","溶接後熱処理","ようせつごねつしょり","Post-weld heat treatment (PWHT)","ဂဟေဆက်ပြီး အပူပေးခြင်း"
312,"Steel Fabrication","フラックス","フラックス","Flux","ဂဟေဆေး"
313,"Steel Fabrication","溶接棒","ようせつぼう","Welding electrode","ဂဟေ ဓါတ်တိုင်"
314,"Steel Fabrication","MIG溶接","MIGようせつ","MIG welding","MIG ဂဟေ"
315,"Steel Fabrication","TIG溶接","TIGようせつ","TIG welding","TIG ဂဟေ"
316,"Steel Fabrication","ショットブラスト機","ショットブラストき","Shot blasting machine","သတ္တု သန့်စင်စက်"
317,"Steel Fabrication","塗装ブース","とそうブース","Painting booth","ဆေးသုတ်ခန်း"
318,"Steel Fabrication","組立治具","くみたてじぐ","Assembly jig","တပ်ဆင်ရေး ကိရိယာ"
319,"Steel Fabrication","寸法精度","すんぽうせいど","Dimensional accuracy","အတိုင်းအတာ တိကျမှု"
320,"Steel Fabrication","製作公差","せいさくこうさ","Fabrication tolerance","ထုတ်လုပ်မှု ခွင့်ပြုချက်"
321,"Steel Fabrication","ミルシート","ミルシート","Mill sheet / Mill test certificate","စက်ရုံထုတ် အရည်အသွေး လက်မှတ်"
322,"Steel Fabrication","CNCマシン","CNCマシン","CNC machine","CNC စက်"
323,"Quality Control","検査記録","けんさきろく","Inspection record","စစ်ဆေးမှု မှတ်တမ်း"
324,"Quality Control","試験報告書","しけんほうこくしょ","Test report","စမ်းသပ်မှု အစီရင်ခံစာ"
325,"Quality Control","校正","こうせい","Calibration","ချိန်ညှိခြင်း"
326,"Quality Control","検査基準","けんさきじゅん","Inspection standard","စစ်ဆေးမှု စံနှုန်း"
327,"Quality Control","合否判定基準","ごうひはんていきじゅん","Acceptance criteria","အောင်/ရှုံး ဆုံးဖြတ်ချက် စံနှုန်း"
328,"Quality Control","是正処置","ぜせいしょち","Corrective action","ပြင်ဆင်မှု ဆောင်ရွက်ချက်"
329,"Quality Control","予防処置","よぼうしょち","Preventive action","ကြိုတင်ကာကွယ်မှု ဆောင်ရွက်ချက်"
330,"Quality Control","品質監査","ひんしつかんさ","Quality audit","အရည်အသွေး စစ်ဆေးခြင်း"
331,"Quality Control","根本原因分析","こんぽんげんいんぶんせき","Root cause analysis","အဓိက အကြောင်းရင်း ခွဲခြမ်းစိတ်ဖြာမှု"
332,"Quality Control","管理図","かんりず","Control chart","ထိန်းချုပ်မှု ဇယား"
333,"Quality Control","ヒストグラム","ヒストグラム","Histogram","ဟစ်စတိုဂရမ်"
334,"Quality Control","パレート図","パレートず","Pareto chart","Pareto ဇယား"
335,"Quality Control","特性要因図","とくせいよういんず","Cause and effect diagram","အကြောင်းနှင့် အကျိုးဆက် ဇယား"
336,"Quality Control","チェックシート","チェックシート","Check sheet","စစ်ဆေးရန် စာရင်း"
337,"Quality Control","ISO 9001","ISO 9001","ISO 9001","ISO 9001"
338,"Quality Control","溶接施工要領書","ようせつせこうようりょうしょ","Welding Procedure Specification (WPS)","ဂဟေလုပ်ငန်းစဉ် သတ်မှတ်ချက်"
339,"Quality Control","施工法確認試験記録","せこうほうかくにんしけんきろく","Procedure Qualification Record (PQR)","လုပ်ငန်းစဉ် အရည်အချင်းစစ် မှတ်တမ်း"
340,"Quality Control","溶接技能者評価試験","ようせつぎのうしゃひょうかしけん","Welder qualification test","ဂဟေကျွမ်းကျင်သူ အရည်အချင်းစစ် စာမေးပွဲ"
341,"Quality Control","第三者検査","だいさんしゃけんさ","Third-party inspection","တတိယပုဂ္ဂိုလ် စစ်ဆေးခြင်း"
342,"Quality Control","寸法検査","すんぽうけんさ","Dimensional inspection","အတိုင်းအတာ စစ်ဆေးခြင်း"
343,"Quality Control","材料トレーサビリティ","ざいりょうトレーサビリティ","Material traceability","ကုန်ကြမ်း ရာဇဝင် လိုက်နိုင်မှု"
344,"Quality Control","不適合報告書","ふてきごうほうこくしょ","Non-conformance report (NCR)","စံမညီမှု အစီရင်ခံစာ"
345,"Quality Control","最終検査","さいしゅうけんさ","Final inspection","နောက်ဆုံး စစ်ဆေးခြင်း"
346,"Quality Control","出荷検査","しゅっかけんさ","Shipping inspection","ကုန်ပို့လွှတ်မှု စစ်ဆေးခြင်း"
347,"Quality Control","トルクレンチ校正","トルクレンチこうせい","Torque wrench calibration","တော်ကီး လက်တံ ချိန်ညှိခြင်း"
348,"Steel Frame Erection","建方順序","たてかたじゅんじょ","Erection sequence","တပ်ဆင်ခြင်း အစီအစဉ်"
349,"Steel Frame Erection","タワークレーン","タワークレーン","Tower crane","မျှော်စင် ကရိန်း"
350,"Steel Frame Erection","移動式クレーン","いどうしきクレーン","Mobile crane","ရွှေ့ပြောင်းနိုင်သော ကရိန်း"
351,"Steel Frame Erection","シャックル","シャックル","Shackle","ချိတ်ကွင်း"
352,"Steel Frame Erection","スリング","スリング","Sling","ကြိုးကွင်း"
353,"Steel Frame Erection","介錯ロープ","かいしゃくロープ","Tagline","ထိန်းကြိုး"
354,"Steel Frame Erection","支線","しせん","Guy wire","ထောက်ကြိုး"
355,"Steel Frame Erection","仮設ブレース","かせつブレース","Temporary bracing","ယာယီ ထောင့်ဖြတ်"
356,"Steel Frame Erection","安全ネット","あんぜんネット","Safety net","ဘေးကင်းရေး ပိုက်ကွန်"
357,"Steel Frame Erection","墜落防止システム","ついらくぼうしシステム","Fall arrest system","ပြုတ်ကျမှု ကာကွယ်ရေးစနစ်"
358,"Steel Frame Erection","ツールボックスミーティング","ツールボックスミーティング","Toolbox meeting","လုပ်ငန်းခွင် အစည်းအဝေး"
359,"Steel Frame Erection","揚重計画","ようじゅうけいかく","Lifting plan","မတင်ခြင်း အစီအစဉ်"
360,"Steel Frame Erection","合図者","あいずしゃ","Signalman","အချက်ပြသူ"
361,"Steel Frame Erection","レベルナット","レベルナット","Leveling nut","အဆင့်ညှိ နပ်"
362,"Steel Frame Erection","グラウト注入","グラウトちゅうにゅう","Grouting","ဘိလပ်မြေရည် လောင်းထည့်ခြင်း"
363,"Steel Frame Erection","現場溶接","げんばようせつ","Field welding","လုပ်ငန်းခွင်တွင်း ဂဟေဆက်ခြင်း"
364,"Steel Frame Erection","トルクレンチ","トルクレンチ","Torque wrench","Torque လက်တံ"
365,"Steel Frame Erection","インパクトレンチ","インパクトレンチ","Impact wrench","လေဂန်း"
366,"Steel Frame Erection","作業半径","さぎょうはんけい","Working radius","လုပ်ငန်းခွင် အချင်းဝက်"
367,"Steel Frame Erection","吊り上げ能力","つりあげのうりょく","Lifting capacity","မတင်နိုင်စွမ်း"
368,"Steel Frame Erection","風速制限","ふうそくせいげん","Wind speed limit","လေတိုက်နှုန်း ကန့်သတ်ချက်"
369,"Steel Frame Erection","建方図","たてかたず","Erection drawing","တပ်ဆင်ပုံ"
370,"Steel Frame Erection","測量","そくりょう","Surveying","မြေတိုင်းခြင်း"
371,"Steel Frame Erection","柱の継手","はしらのつぎて","Column splicing","တိုင် ဆက်ခြင်း"
372,"Steel Frame Erection","梁と柱の接合","はりとはしらのせつごう","Beam-to-column connection","ရုံတန်းနှင့် တိုင် ဆက်သွယ်မှု"
373,"Safety Management","安全朝礼","あんぜんちょうれい","Safety morning assembly","ဘေးကင်းရေး နံနက်တန်းစီ"
374,"Safety Management","事故報告書","じこほうこくしょ","Incident report","မတော်တဆမှု အစီရင်ခံစာ"
375,"Safety Management","非常停止","ひじょうていし","Emergency stop","အရေးပေါ် ရပ်တန့်ခြင်း"
376,"Safety Management","消火器","しょうかき","Fire extinguisher","မီးသတ်ဆေးဘူး"
377,"Safety Management","救急箱","きゅうきゅうばこ","First aid kit","ရှေးဦးသူနာပြုသေတ္တာ"
378,"Safety Management","安全標識","あんぜんひょうしき","Safety signs","ဘေးကင်းရေး ဆိုင်းဘုတ်"
379,"Safety Management","警告標識","けいこくひょうしき","Warning signs","သတိပေး ဆိုင်းဘုတ်"
380,"Safety Management","禁止標識","きんしひょうしき","Prohibition signs","တားမြစ် ဆိုင်းဘုတ်"
381,"Safety Management","ロックアウト・タグアウト","ロックアウト・タグアウト","Lockout/Tagout","သော့ခတ် အမှတ်အသားပြုခြင်း"
382,"Safety Management","作業許可証","さぎょうきょかしょう","Work permit","လုပ်ငန်းခွင့်ပြုချက်"
383,"Safety Management","火気作業許可証","かきさぎょうきょかしょう","Hot work permit","မီးသုံးလုပ်ငန်း ခွင့်ပြုချက်"
384,"Safety Management","閉所","へいしょ","Confined space","နေရာကျဉ်း"
385,"Safety Management","掘削作業の安全","くっさくさぎょうのあんぜん","Excavation safety","မြေတူးလုပ်ငန်း ဘေးကင်းရေး"
386,"Safety Management","電気安全","でんきあんぜん","Electrical safety","လျှပ်စစ် ဘေးကင်းရေး"
387,"Safety Management","化学物質の安全","かがくぶっしつのあんぜん","Chemical safety","ဓာတုပစ္စည်း ဘေးကင်းရေး"
388,"Safety Management","騒音対策","そうおんたいさく","Noise protection","ဆူညံသံ ကာကွယ်ရေး"
389,"Safety Management","防じんマスク","ぼうじんマスク","Dust mask","အမှုန်ကာ နှာခေါင်းစည်း"
390,"Safety Management","保護メガネ","ほごメガネ","Safety glasses","အကာအကွယ် မျက်မှန်"
391,"Safety Management","保護手袋","ほごてぶくろ","Safety gloves","အကာအကွယ် လက်အိတ်"
392,"Safety Management","熱中症予防","ねっちゅうしょうよぼう","Heatstroke prevention","အပူရှပ်ခြင်း ကာကွယ်ရေး"
393,"Safety Management","避難経路","ひなんけいろ","Evacuation route","ဘေးလွတ်ရာ ထွက်ပေါက်လမ်းကြောင်း"
394,"Safety Management","緊急連絡先","きんきゅうれんらくさき","Emergency contact list","အရေးပေါ် ဆက်သွယ်ရန် လိပ်စာ"
395,"Safety Management","危険物","きけんぶつ","Hazardous materials","အန္တရာယ်ရှိ ပစ္စည်းများ"
396,"Safety Management","安全点検","あんぜんてんけん","Safety inspection","ဘေးကင်းရေး စစ်ဆေးခြင်း"
397,"Safety Management","不安全行動","ふあんぜんこうどう","Unsafe act","ဘေးမကင်းသော အပြုအမူ"
398,"Safety Management","不安全状態","ふあんぜんじょうたい","Unsafe condition","ဘေးမကင်းသော အခြေအနေ"
399,"Safety Management","労働安全衛生法","ろうどうあんぜんえいせいほう","Industrial Safety and Health Act","အလုပ်သမား ဘေးကင်းရေးနှင့် ကျန်းမာရေး ဥပဒေ"
